               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              5.0765,              6.4857,              5.9777,           0.0082447,            0.028099,           0.0086164,           0.0019626,                   0,                   0,                   0,            0.070162,           0.0033153,           0.0033153
                   1,              4.4068,              5.1042,              5.0634,             0.01272,             0.44829,            0.016758,           0.0066547,                   0,                   0,                   0,            0.039979,           0.0064658,           0.0064658
                   2,              3.2422,              3.8323,              3.8251,             0.24329,             0.36403,              0.2235,             0.11249,                   0,                   0,                   0,           0.0096132,            0.009433,            0.009433
                   3,              2.6247,              2.9708,              2.9311,             0.50243,             0.62452,             0.58195,               0.315,                   0,                   0,                   0,            0.009175,            0.009175,            0.009175
                   4,              2.2561,              2.4449,              2.4801,             0.75785,             0.72845,             0.78271,             0.47982,                   0,                   0,                   0,            0.009175,            0.009175,            0.009175
                   5,              2.0121,              2.0837,              2.1827,             0.78846,             0.79431,             0.85388,             0.53032,                   0,                   0,                   0,              0.0089,              0.0089,              0.0089
                   6,               1.861,              1.8149,              2.0173,             0.83881,             0.83919,             0.88632,             0.57424,                   0,                   0,                   0,            0.008625,            0.008625,            0.008625
                   7,              1.7456,              1.6458,              1.9054,             0.89974,             0.83914,             0.90982,             0.62032,                   0,                   0,                   0,             0.00835,             0.00835,             0.00835
                   8,              1.6794,              1.5318,               1.816,             0.90168,             0.89024,             0.93835,             0.65654,                   0,                   0,                   0,            0.008075,            0.008075,            0.008075
                   9,              1.6184,               1.424,              1.7594,             0.89352,             0.87417,             0.92881,             0.64483,                   0,                   0,                   0,              0.0078,              0.0078,              0.0078
                  10,              1.5703,              1.3601,              1.7259,             0.93102,             0.90474,             0.94997,             0.68202,                   0,                   0,                   0,            0.007525,            0.007525,            0.007525
                  11,              1.5326,              1.2503,              1.6615,             0.92002,             0.91136,             0.95368,             0.69208,                   0,                   0,                   0,             0.00725,             0.00725,             0.00725
                  12,              1.5085,               1.212,              1.6712,              0.9574,             0.92862,             0.96437,              0.7007,                   0,                   0,                   0,            0.006975,            0.006975,            0.006975
                  13,              1.4967,              1.1699,              1.6161,             0.95921,             0.93654,              0.9703,             0.70521,                   0,                   0,                   0,              0.0067,              0.0067,              0.0067
                  14,               1.452,              1.1148,              1.5944,             0.87027,             0.86759,             0.91239,             0.65156,                   0,                   0,                   0,            0.006425,            0.006425,            0.006425
                  15,              1.4669,              1.1045,              1.5977,             0.95343,             0.92792,             0.96746,             0.70641,                   0,                   0,                   0,             0.00615,             0.00615,             0.00615
                  16,              1.4066,              1.0588,              1.5905,             0.97296,             0.92671,             0.96933,             0.71924,                   0,                   0,                   0,            0.005875,            0.005875,            0.005875
                  17,              1.3948,              1.0216,              1.5541,             0.95332,             0.92862,             0.97081,             0.72599,                   0,                   0,                   0,              0.0056,              0.0056,              0.0056
                  18,              1.3874,              1.0028,              1.5648,             0.97067,             0.94988,             0.97627,             0.71983,                   0,                   0,                   0,            0.005325,            0.005325,            0.005325
